name,sumPlacement,amountJoined,amountTopped
Portor,222,10,1
Balltze,7,1,1
Pochacco,73,3,1
Sp3ctra,156,4,0
IX5,9,1,0
Jellyfish,75,3,0
nail_HK,13,1,0
Piggy,13,1,0
Oonagi,13,1,0
redmix,63,3,0
FaTe,17,1,0
Player 9,116,4,0
Pixel,67,3,0
Juliusplex,17,1,0
Viridian,17,1,0
ChiefAngel,17,1,0
Sploot,17,1,0
Pedroz,149,5,0
LQVKat,25,1,0
iceY,75,3,0
JayDee,58,2,0
Boreal,25,1,0
Peemp,25,1,0
Cobra4244,33,1,0
Breozy,33,1,0
StarLord21,33,1,0
Oric,372,12,0
xenryo,177,5,0
Aachoo,33,1,0
Pinhead,33,1,0
Hitman,131,3,0
Pancakes,33,1,0
Danny Fathom,33,1,0
Ants,33,1,0
VectorGun,33,1,0
Lurakx,49,1,0
Tresh#1924,58,2,0
Vonatello,49,1,0
Kling,49,1,0
meikrofon,49,1,0
Chag,455,50,39
| Morsalsa,463,23,10
Slurmp,208,7,3
SuperStriker,21,5,5
Klein,21,3,3
Atomic,119,5,3
Ratking,101,5,3
Micro,258,10,3
Pokelover46,137,5,3
Youpop,137,5,3
| Shigura,39,3,3
Yusuf,39,3,3
Majestic Souls,155,7,2
Tato,159,7,2
D3_Will,51,3,0
Pachacamac,51,3,0
Zam,51,3,0
ChaDø,51,3,0
SuperJew Yaqov,51,3,0
Captain Yellow,101,5,0
CEO Of RNG,175,7,0
GoldBlox,124,4,0
Cujo,75,3,0
Tractor,75,3,0
Hope,75,3,0
GNes74,194,10,0
Mudkipy,75,3,0
William,214,6,0
CruxisPhantom,149,9,5
Echofire,398,24,9
Karon,99,3,0
Kaichus,99,3,0
Uppish,111,5,2
AJ DOHHHH,99,3,0
NPRoyalty,99,3,0
Ducky,197,5,0
Inlajin,312,8,0
WaffleMan,99,3,0
theycallmegaybe,197,5,0
Yumekui,197,5,0
DuckyTheConPlayer,99,3,0
YuYu,165,5,0
SuperSamir,574,14,0
v2,680,16,0
Wazowski,147,3,0
Yarkster9,147,3,0
FN/RayZenK,147,3,0
esqimo,147,3,0
NecroBlaze16,147,3,0
Robbie,147,3,0
Scarlet,147,3,0
ily,165,5,0
