name,sumPlacement,amountJoined
vizio,277,5
XxBanjxX,290,2
Wombo,195,3
Dropkick,33,1
Gato,34,2
Hoshi,33,1
David_H,82,2
GoDMoDe,98,2
Gamma,49,1
Metabee,131,3
Poobii,49,1
Papots,49,1
Mirza,82,2
SFUL,82,2
muffingobrrr,49,1
Galick,211,3
ThatAnnoyingPlayer,49,1
Hydro,82,2
Johnnylaw,1,1
Sengi,204,3
Blender,3,1
Gabs,4,1
lukey,5,1
Portor,38,2
Balltze,7,1
Pochacco,7,1
Sp3ctra,443,3
IX5,9,1
Jellyfish,9,1
nail_HK,13,1
Piggy,13,1
Oonagi,13,1
redmix,13,1
FaTe,17,1
Player 9,17,1
Pixel,17,1
Juliusplex,17,1
Viridian,17,1
ChiefAngel,17,1
Sploot,17,1
Pedroz,17,1
LQVKat,25,1
iceY,25,1
JayDee,282,2
Boreal,25,1
Cobra4244,33,1
Breozy,547,3
StarLord21,33,1
Oric,147,3
xenryo,144,4
Aachoo,418,2
Pinhead,33,1
Hitman,82,2
Pancakes,33,1
Danny Fathom,33,1
Ants,33,1
Lurakx,49,1
Tresh#1924,49,1
Vonatello,49,1
Kling,242,2
meikrofon,49,1
Chag,1,1
| Morsalsa,28,2
Slurmp,69,2
SuperStriker,5,1
Klein,7,1
Atomic,56,2
Ratking,9,1
Micro,9,1
Pokelover46,13,1
Youpop,13,1
| Shigura,13,1
Yusuf,13,1
Majestic Souls,17,1
Tato,17,1
D3_Will,146,2
Pachacamac,210,2
Zam,17,1
ChaDø,17,1
SuperJew Yaqov,17,1
Captain Yellow,17,1
CEO Of RNG,42,2
GoldBlox,74,2
Cujo,25,1
Tractor,25,1
Hope,25,1
GNes74,90,2
Mudkipy,25,1
William,33,1
CruxisPhantom,33,1
Echofire,40,2
Karon,33,1
Kaichus,98,2
Uppish,38,2
AJ DOHHHH,33,1
NPRoyalty,33,1
Ducky,33,1
Inlajin,82,2
WaffleMan,33,1
theycallmegaybe,33,1
Yumekui,82,2
DuckyTheConPlayer,33,1
YuYu,66,2
SuperSamir,162,2
v2,49,1
Wazowski,49,1
Yarkster9,49,1
FN/RayZenK,146,2
esqimo,49,1
NecroBlaze16,49,1
Robbie,49,1
Scarlet,114,2
ily,49,1
MikeyPie,49,1
Swixiz,49,1
J4Ncp,49,1
SK,125,3
Yaemori,49,1
