name,sumPlacement,amountJoined,amountTopped
Kyra,83,2,0
Beloved,65,1,0
Koenbc,65,1,0
Wangers,162,2,0
Leixou,65,1,0
Joebeefcat,65,1,0
Mattmaster69degreez,65,1,0
Longo,65,1,0
ganoot,65,1,0
OnlyE,65,1,0
Tree,114,2,0
Khenan,65,1,0
Zombiebox,65,1,0
Palapin,65,1,0
Castel More,65,1,0
DutifulFuture,65,1,0
Akame,65,1,0
Reflet,121,2,0
NGC,65,1,0
Cdog906,65,1,0
BIGGYROFAN,65,1,0
Takeo,66,2,1
JakeSynix,65,1,0
eSaint,65,1,0
Shiekah,65,1,0
Theflyingdunker,65,1,0
MLGPRONOSCOPER,97,1,0
Koip,97,1,0
Klazo,97,1,0
Valmet,97,1,0
Gabriel395,2,1,1
Snow,93,3,1
Zeno,4,1,1
44,5,1,1
Yonie,5,1,1
Rem,7,1,1
Tedix,7,1,1
Beetlejuz,9,1,0
davez,9,1,0
Wolfy,9,1,0
Eddy,9,1,0
Faillord,42,3,0
KogaMeijin,13,1,0
Veljko,13,1,0
Jerkol,13,1,0
Spachtel,17,1,0
Domi,17,1,0
Graivend,42,2,0
Sansero,60,2,0
Gayaa,17,1,0
Dunkmaster,17,1,0
Toasty,17,1,0
Loxcess,17,1,0
5lothLIVE,25,1,0
Ebay,25,1,0
Dango,25,1,0
GeaR,25,1,0
Joshi,25,1,0
BHS-Mann,25,1,0
Darkspine,25,1,0
Fritte,25,1,0
Davai!,33,1,0
Simpl,33,1,0
Der_Boot,33,1,0
Panfi,33,1,0
Mitzkazi,33,1,0
killua,33,1,0
SynnKo,33,1,0
6,33,1,0
Kinzu,33,1,0
xShaXo,33,1,0
Yeager,33,1,0
Redegi,55,2,0
Tarmiel,33,1,0
JustSkda,62,2,0
Chicken,33,1,0
Justn,33,1,0
Cryptex,49,1,0
SaikQ,49,1,0
Oualid,49,1,0
Saphi,49,1,0
F-A-!-A,63,2,0
BeToBBX,49,1,0
Liquid,49,1,0
Freacks,49,1,0
SG#Adri159,49,1,0
RRR,49,1,0
Soulhunter,49,1,0
Nishfish,49,1,0
Jokemon,49,1,0
Jesis,49,1,0
Slate,58,2,0
Silverfox,1,1,1
Infamous,2,1,1
GOHAN,3,1,1
Zeppeli,4,1,1
